customer_id,first_name,last_name,email,phone,city,state,country,segment,joined_at
1,Zoya,Iyer,zoya.iyer143@gmail.com,9680402501,Mumbai,NA,India,Retail,2024-10-08 00:00:00
2,Zoya,Agarwal,zoya.agarwal604@outlook.com,9808631930,Jaipur,NA,India,Retail,2025-03-05 00:00:00
3,Ananya,Khan,ananya.khan748@ivyproschool.com,9593586857,Hyderabad,NA,India,Prime,2024-09-27 00:00:00
4,Vihaan,Jain,vihaan.jain876@yahoo.com,9834813676,Kolkata,NA,India,Business,2024-10-23 00:00:00
5,Vivaan,Mishra,vivaan.mishra251@yahoo.com,9429623708,Chandigarh,NA,India,Retail,2024-06-24 00:00:00
6,Ira,Singh,ira.singh936@company.com,9836394225,Pune,NA,India,Retail,2024-10-01 00:00:00
7,Rohan,Bajaj,rohan.bajaj409@outlook.com,9295001674,Lucknow,NA,India,Prime,2025-03-14 00:00:00
8,Vivaan,Kaur,vivaan.kaur995@company.com,9807652614,Pune,NA,India,Retail,2025-04-24 00:00:00
9,Kunal,Sharma,kunal.sharma781@yahoo.com,9516851319,Indore,NA,India,Business,2024-09-26 00:00:00
10,Yash,Bose,yash.bose115@outlook.com,9883089040,Mumbai,NA,India,Retail,2024-11-27 00:00:00
11,Dhruv,Saha,dhruv.saha970@company.com,9156997673,Bengaluru,NA,India,Prime,2024-05-11 00:00:00
12,Reyansh,Panda,reyansh.panda463@gmail.com,9200550700,Hyderabad,NA,India,Prime,2025-03-24 00:00:00
13,Vihaan,Gandhi,vihaan.gandhi286@ivyproschool.com,9219547810,Hyderabad,NA,India,Retail,2024-03-13 00:00:00
14,Arjun,Khan,arjun.khan747@gmail.com,9690438214,Pune,NA,India,Retail,2025-02-24 00:00:00
15,Arjun,Das,arjun.das946@gmail.com,9485098998,Chennai,NA,India,Retail,2025-04-18 00:00:00
16,Aadhya,Reddy,aadhya.reddy411@gmail.com,9103972677,Ahmedabad,NA,India,Retail,2025-05-07 00:00:00
17,Reyansh,Agarwal,reyansh.agarwal223@gmail.com,9557055819,Ahmedabad,NA,India,Retail,2024-06-07 00:00:00
18,Vivaan,Gandhi,vivaan.gandhi692@yahoo.com,9495500653,Bengaluru,NA,India,Retail,2024-03-11 00:00:00
19,Rohan,Mukherjee,rohan.mukherjee406@yahoo.com,9623704990,Chandigarh,NA,India,Retail,2024-11-17 00:00:00
20,Ishaan,Bose,ishaan.bose903@gmail.com,9831876960,Chennai,NA,India,Business,2024-05-15 00:00:00
21,Navya,Saha,navya.saha138@outlook.com,9115267262,Chennai,NA,India,Business,2024-04-16 00:00:00
22,Meera,Chatterjee,meera.chatterjee850@outlook.com,9031914751,Mumbai,NA,India,Prime,2024-04-04 00:00:00
23,Tanvi,Agarwal,tanvi.agarwal379@company.com,9540399036,Bengaluru,NA,India,Retail,2025-07-12 00:00:00
24,Reyansh,Iyer,reyansh.iyer417@company.com,9792171419,Hyderabad,NA,India,Prime,2025-07-27 00:00:00
25,Ira,Malhotra,ira.malhotra807@gmail.com,9304193882,Pune,NA,India,Retail,2024-09-11 00:00:00
26,Reyansh,Mukherjee,reyansh.mukherjee72@outlook.com,9356830825,Pune,NA,India,Retail,2024-12-02 00:00:00
27,Rohan,Verma,rohan.verma806@outlook.com,9491810458,Delhi,NA,India,Retail,2025-03-20 00:00:00
28,Reyansh,Bajaj,reyansh.bajaj72@outlook.com,9661956365,Indore,NA,India,Retail,2024-07-20 00:00:00
29,Ishaan,Reddy,ishaan.reddy925@yahoo.com,9635024564,Chandigarh,NA,India,Prime,2025-01-23 00:00:00
30,Kunal,Jain,kunal.jain923@yahoo.com,9626609238,Kolkata,NA,India,Retail,2025-06-07 00:00:00
31,Diya,Sharma,diya.sharma626@gmail.com,9485733168,Mumbai,NA,India,Business,2024-09-07 00:00:00
32,Sara,Bhatia,sara.bhatia824@company.com,9459114553,Delhi,NA,India,Retail,2025-03-11 00:00:00
33,Dhruv,Kapoor,dhruv.kapoor929@company.com,9418478274,Ahmedabad,NA,India,Retail,2025-05-31 00:00:00
34,Kabir,Chatterjee,kabir.chatterjee241@outlook.com,9380131243,Ahmedabad,NA,India,Prime,2024-03-20 00:00:00
35,Kunal,Reddy,kunal.reddy399@company.com,9908549238,Mumbai,NA,India,Prime,2024-07-30 00:00:00
36,Navya,Reddy,navya.reddy920@yahoo.com,9424367789,Jaipur,NA,India,Prime,2025-07-13 00:00:00
37,Tara,Saha,tara.saha679@gmail.com,9048123438,Mumbai,NA,India,Retail,2025-02-07 00:00:00
38,Rohan,Bhatia,rohan.bhatia482@gmail.com,9709209002,Pune,NA,India,Prime,2024-09-15 00:00:00
39,Navya,Sharma,navya.sharma485@gmail.com,9526716718,Lucknow,NA,India,Retail,2024-06-05 00:00:00
40,Anika,Iyer,anika.iyer590@ivyproschool.com,9370661786,Lucknow,NA,India,Business,2024-01-27 00:00:00
41,Ananya,Chopra,ananya.chopra439@outlook.com,9060444384,Lucknow,NA,India,Retail,2024-02-12 00:00:00
42,Diya,Reddy,diya.reddy277@company.com,9854472880,Bengaluru,NA,India,Business,2025-06-18 00:00:00
43,Tanvi,Rao,tanvi.rao685@ivyproschool.com,9343432258,Kolkata,NA,India,Retail,2025-04-20 00:00:00
44,Pooja,Sharma,pooja.sharma738@ivyproschool.com,9476647026,Jaipur,NA,India,Retail,2024-07-14 00:00:00
45,Anika,Jain,anika.jain544@outlook.com,9473722111,Lucknow,NA,India,Retail,2025-01-12 00:00:00
